DBbook_ItemID	name	DBpedia_uri
1	Dragonfly in Amber	http://dbpedia.org/resource/Dragonfly_in_Amber
10	Unicorn Variations	http://dbpedia.org/resource/Unicorn_Variations
100	A Stranger in the Mirror	http://dbpedia.org/resource/A_Stranger_in_the_Mirror
1000	At All Costs	http://dbpedia.org/resource/At_All_Costs
1001	Dhalgren	http://dbpedia.org/resource/Dhalgren
1002	Blood Follows	http://dbpedia.org/resource/Blood_Follows
1003	Brother Cadfael's Penance	http://dbpedia.org/resource/Brother_Cadfael's_Penance
1004	Courtship Rite	http://dbpedia.org/resource/Courtship_Rite
1005	Designated Targets	http://dbpedia.org/resource/Designated_Targets
1006	Dying of the Light	http://dbpedia.org/resource/Dying_of_the_Light
1007	Enchanted, Inc.	http://dbpedia.org/resource/Enchanted,_Inc.
1008	Fitzpatrick's War	http://dbpedia.org/resource/Fitzpatrick's_War
1009	The Legend of Chun Hyang	http://dbpedia.org/resource/Legend_of_Chun_Hyang
101	By Grand Central Station I Sat Down and Wept	http://dbpedia.org/resource/By_Grand_Central_Station_I_Sat_Down_and_Wept
1010	Leroni of Darkover	http://dbpedia.org/resource/Leroni_of_Darkover
1011	Mutineers' Moon	http://dbpedia.org/resource/Mutineers'_Moon
1012	Night of Knives	http://dbpedia.org/resource/Night_of_Knives
1013	Vittorio the Vampire	http://dbpedia.org/resource/Vittorio_the_Vampire
1014	Final Impact	http://dbpedia.org/resource/Final_Impact
1015	The Children's Hospital	http://dbpedia.org/resource/The_Children's_Hospital
1016	Solstice Wood	http://dbpedia.org/resource/Solstice_Wood
1017	Star of Danger	http://dbpedia.org/resource/Star_of_Danger
1018	The Bishop's Heir	http://dbpedia.org/resource/The_Bishop's_Heir
1019	Pride of Baghdad	http://dbpedia.org/resource/Pride_of_Baghdad
102	Charlotte Gray	http://dbpedia.org/resource/Charlotte_Gray_(novel)
1020	The Complete Stories	http://dbpedia.org/resource/The_Complete_Stories_(O'Connor)
1021	Gerald's Game	http://dbpedia.org/resource/Gerald's_Game
1022	The Forever King	http://dbpedia.org/resource/The_Forever_King
1023	Ghostwritten	http://dbpedia.org/resource/Ghostwritten
1024	The Healthy Dead	http://dbpedia.org/resource/The_Healthy_Dead
1025	The Killing of Worlds	http://dbpedia.org/resource/The_Killing_of_Worlds
1026	The Prince and the Pilgrim	http://dbpedia.org/resource/The_Prince_and_the_Pilgrim
1027	1812: The Rivers of War	http://dbpedia.org/resource/1812:_The_Rivers_of_War
1028	The Service of the Sword	http://dbpedia.org/resource/The_Service_of_the_Sword
1029	The Snow Queen	http://dbpedia.org/resource/The_Snow_Queen_(novel)
103	Cider with Rosie	http://dbpedia.org/resource/Cider_with_Rosie
1030	The White Raven	http://dbpedia.org/resource/The_White_Raven_(novel)
1031	The Wild Swans	http://dbpedia.org/resource/The_Wild_Swans
1032	The World Wreckers	http://dbpedia.org/resource/The_World_Wreckers
1033	The Year of Our War	http://dbpedia.org/resource/The_Year_of_Our_War
1034	Gulag: A History	http://dbpedia.org/resource/Gulag:_A_History
1035	Trullion: Alastor 2262	http://dbpedia.org/resource/Trullion:_Alastor_2262
1036	Voyage of the Shadowmoon	http://dbpedia.org/resource/Voyage_of_the_Shadowmoon
1037	With the Lightnings	http://dbpedia.org/resource/With_the_Lightnings
1038	Hearts in Atlantis	http://dbpedia.org/resource/Hearts_in_Atlantis
1039	A Salty Piece of Land	http://dbpedia.org/resource/A_Salty_Piece_of_Land
104	Friday Night Lights: A Town, a Team, and a Dream	http://dbpedia.org/resource/Friday_Night_Lights:_A_Town,_a_Team,_and_a_Dream
1040	Chasing Vermeer	http://dbpedia.org/resource/Chasing_Vermeer
1041	Hitler and Stalin: Parallel Lives	http://dbpedia.org/resource/Hitler_and_Stalin:_Parallel_Lives
1042	Madeline's Rescue	http://dbpedia.org/resource/Madeline's_Rescue
1043	You Just Don't Understand	http://dbpedia.org/resource/You_Just_Don't_Understand
1044	Darkwalker on Moonshae	http://dbpedia.org/resource/Darkwalker_on_Moonshae
1045	Imajica	http://dbpedia.org/resource/Imajica
1046	The Mad God's Amulet	http://dbpedia.org/resource/The_Mad_God's_Amulet
1047	The Parched Sea	http://dbpedia.org/resource/The_Parched_Sea
1048	Journal of a Novel: The East of Eden Letters	http://dbpedia.org/resource/Journal_of_a_Novel:_The_East_of_Eden_Letters
1049	One child	http://dbpedia.org/resource/One_Child
105	Stationary Bike	http://dbpedia.org/resource/Stationary_Bike
1050	Just Above My Head	http://dbpedia.org/resource/Just_Above_My_Head
1051	The Hammer of Eden	http://dbpedia.org/resource/The_Hammer_of_Eden
1052	Under the Beetle's Cellar	http://dbpedia.org/resource/Under_the_Beetle's_Cellar
1053	Letters of Ayn Rand	http://dbpedia.org/resource/Letters_of_Ayn_Rand
1054	The Beatrice Letters	http://dbpedia.org/resource/The_Beatrice_Letters
1055	Life and Death in Shanghai	http://dbpedia.org/resource/Life_and_Death_in_Shanghai
1056	The Art of the Metaobject Protocol	http://dbpedia.org/resource/The_Art_of_the_Metaobject_Protocol
1057	Lost Girls	http://dbpedia.org/resource/Lost_Girls
1058	Halloween Rain	http://dbpedia.org/resource/Halloween_Rain
1059	Night of the Living Rerun	http://dbpedia.org/resource/Night_of_the_Living_Rerun
106	Piece of My Heart	http://dbpedia.org/resource/Piece_of_My_Heart_(novel)
1060	Hairy Maclary from Donaldson's Dairy	http://dbpedia.org/resource/Hairy_Maclary_from_Donaldson's_Dairy
1061	The Gruffalo	http://dbpedia.org/resource/The_Gruffalo
1062	Mary Chesnut's Civil War	http://dbpedia.org/resource/Mary_Chesnut's_Civil_War
1063	Theory of Fun for Game Design	http://dbpedia.org/resource/A_Theory_of_Fun_for_Game_Design
1064	The Act of Marriage	http://dbpedia.org/resource/The_Act_of_Marriage
1065	Berlin Alexanderplatz	http://dbpedia.org/resource/Berlin_Alexanderplatz
1066	How Many Miles to Babylon?	http://dbpedia.org/resource/How_Many_Miles_to_Babylon%3F_(novel)
1067	No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II	http://dbpedia.org/resource/No_Ordinary_Time:_Franklin_and_Eleanor_Roosevelt:_The_Home_Front_in_World_War_II
1068	Original Meanings: Politics and Ideas in the Making of the Constitution	http://dbpedia.org/resource/Original_Meanings:_Politics_and_Ideas_in_the_Making_of_the_Constitution
1069	The Pirates! In an Adventure with Scientists	http://dbpedia.org/resource/The_Pirates!_in_an_Adventure_with_Scientists
107	The Assassins: A Radical Sect in Islam	http://dbpedia.org/resource/The_Assassins:_A_Radical_Sect_in_Islam
1070	The Great and Secret Show	http://dbpedia.org/resource/The_Great_and_Secret_Show
1071	Philosophy: Who Needs It	http://dbpedia.org/resource/Philosophy:_Who_Needs_It
1072	Infinity and the Mind	http://dbpedia.org/resource/Infinity_and_the_Mind
1073	Postwar: A History of Europe since 1945	http://dbpedia.org/resource/Postwar:_A_History_of_Europe_Since_1945
1074	Weep Not, Child	http://dbpedia.org/resource/Weep_Not,_Child
1075	Hadassah: One Night With the King	http://dbpedia.org/resource/Hadassah:_One_Night_with_the_King
1076	A Winter Haunting	http://dbpedia.org/resource/A_Winter_Haunting
1077	Right as Rain	http://dbpedia.org/resource/Right_as_Rain
1078	The Animator's Survival Kit	http://dbpedia.org/resource/The_Animator's_Survival_Kit
1079	The Enchanted Wood	http://dbpedia.org/resource/The_Enchanted_Wood_(novel)
108	If Tomorrow Comes	http://dbpedia.org/resource/If_Tomorrow_Comes
1080	The Magic Faraway Tree	http://dbpedia.org/resource/The_Magic_Faraway_Tree_(novel)
1081	The Mirror of Love	http://dbpedia.org/resource/The_Mirror_of_Love
1082	Shutter Island	http://dbpedia.org/resource/Shutter_Island
1083	Six Degrees of Separation	http://dbpedia.org/resource/Six_Degrees_of_Separation_(play)
1084	The Big U	http://dbpedia.org/resource/The_Big_U
1085	The Frog Princess	http://dbpedia.org/resource/The_Frog_Princess_(novel)
1086	The Kissing Hand	http://dbpedia.org/resource/The_Kissing_Hand
1087	Spadework	http://dbpedia.org/resource/Spadework
1088	Zen Shorts	http://dbpedia.org/resource/Zen_Shorts
1089	Just Imagine	http://dbpedia.org/resource/Just_Imagine...
